expression	H3K27me3	H3K4me3	H3K27ac	H3K36me3
0.0986805	22.96	9.09	2.44	2.33
0.0350614	22.96	9.09	2.44	2.33
0.124517	22.96	9.09	2.44	2.33
0.0986805	43.24	37.80	4.66	3.32
0.0350614	43.24	37.80	4.66	3.32
30.9713	1.31	19.96	6.16	1.61
44.1219	1.31	19.96	6.16	1.61
5.56975	1.31	19.96	6.16	1.61
5.6782	1.31	19.96	6.16	1.61
15.3727	1.31	19.96	6.16	1.61
30.9713	1.54	5.88	9.44	2.21
44.1219	1.54	5.88	9.44	2.21
5.56975	1.54	5.88	9.44	2.21
5.6782	1.54	5.88	9.44	2.21
15.3727	1.54	5.88	9.44	2.21
30.9713	1.81	9.83	12.02	4.30
26.7951	1.81	9.83	12.02	4.30
44.1219	1.81	9.83	12.02	4.30
5.56975	1.81	9.83	12.02	4.30
4.07287	1.81	9.83	12.02	4.30
5.6782	1.81	9.83	12.02	4.30
15.3727	1.81	9.83	12.02	4.30
11.0203	1.81	9.83	12.02	4.30
30.9713	1.48	7.24	7.43	7.48
26.7951	1.48	7.24	7.43	7.48
44.1219	1.48	7.24	7.43	7.48
5.56975	1.48	7.24	7.43	7.48
4.07287	1.48	7.24	7.43	7.48
5.6782	1.48	7.24	7.43	7.48
15.3727	1.48	7.24	7.43	7.48
11.0203	1.48	7.24	7.43	7.48
30.9713	1.63	16.35	8.42	1.81
26.7951	1.63	16.35	8.42	1.81
44.1219	1.63	16.35	8.42	1.81
5.56975	1.63	16.35	8.42	1.81
4.07287	1.63	16.35	8.42	1.81
5.6782	1.63	16.35	8.42	1.81
15.3727	1.63	16.35	8.42	1.81
11.0203	1.63	16.35	8.42	1.81
26.7951	4.84	8.06	6.88	2.52
4.07287	4.84	8.06	6.88	2.52
15.3727	4.84	8.06	6.88	2.52
11.0203	4.84	8.06	6.88	2.52
30.9713	1.16	4.24	11.42	2.60
26.7951	1.16	4.24	11.42	2.60
4.07287	1.16	4.24	11.42	2.60
5.6782	1.16	4.24	11.42	2.60
15.3727	1.16	4.24	11.42	2.60
11.0203	1.16	4.24	11.42	2.60
26.7951	2.18	3.00	7.33	3.09
7.73611	2.18	3.00	7.33	3.09
2.10278	2.18	3.00	7.33	3.09
4.07287	2.18	3.00	7.33	3.09
15.3727	2.18	3.00	7.33	3.09
11.0203	2.18	3.00	7.33	3.09
7.73611	0.61	2.95	11.32	4.92
2.10278	0.61	2.95	11.32	4.92
11.0203	0.61	2.95	11.32	4.92
7.73611	2.43	21.90	6.19	3.33
2.10278	2.43	21.90	6.19	3.33
7.73611	2.66	18.55	4.35	2.87
2.10278	2.66	18.55	4.35	2.87
11.0203	2.66	18.55	4.35	2.87
10.1349	1.47	1.60	7.50	4.43
10.1349	1.18	7.72	11.24	2.34
10.1349	1.57	25.46	5.38	2.25
34.411	1.57	25.46	5.38	2.25
7.73611	1.82	12.79	7.29	1.70
10.1349	1.82	12.79	7.29	1.70
34.411	1.82	12.79	7.29	1.70
10.1349	1.30	26.46	10.68	4.52
34.411	1.30	26.46	10.68	4.52
27.1695	1.30	26.46	10.68	4.52
633.772	1.30	26.46	10.68	4.52
10.1349	3.97	23.37	5.83	10.49
34.411	3.97	23.37	5.83	10.49
27.1695	3.97	23.37	5.83	10.49
633.772	3.97	23.37	5.83	10.49
4.15536	4.49	28.55	6.31	3.36
34.411	4.49	28.55	6.31	3.36
27.1695	4.49	28.55	6.31	3.36
633.772	4.49	28.55	6.31	3.36
4.15536	4.97	10.51	3.43	1.21
34.411	4.97	10.51	3.43	1.21
27.1695	4.97	10.51	3.43	1.21
633.772	4.97	10.51	3.43	1.21
4.15536	2.59	21.92	4.91	1.52
6.9459	3.18	21.37	6.17	3.15
5.09234	3.18	21.37	6.17	3.15
4.57955	3.18	21.37	6.17	3.15
13.6954	3.18	21.37	6.17	3.15
4.15536	5.08	22.66	5.01	5.33
4.15536	5.33	37.03	4.84	1.71
0.0381208	9.59	6.45	4.51	4.78
1.74318	9.59	6.45	4.51	4.78
0.1216	9.59	6.45	4.51	4.78
4.15536	3.09	16.13	7.34	3.55
4.15536	1.00	7.55	16.24	2.30
4.15536	5.36	27.23	5.06	3.13
17.2386	1.62	53.33	9.46	3.02
1.16065	5.98	27.12	3.07	4.00
6.9459	5.98	27.12	3.07	4.00
5.09234	5.98	27.12	3.07	4.00
